Record_ID,Noise_Type,SNR_Level,Filter_Technique,Original_SNR,Improved_SNR,SNR_Gain,Original_MSE,Improved_MSE
100,G_BW_PL_MA_EM,-6,Savitzky-Golay,-3.868678164985101,-1.226049143969811,2.6426290210152903,0.060806298237352355,0.0330891539687867
100,G_BW_PL_MA_EM,-6,Wavelet,-3.868678164985101,-2.3172394477432388,1.5514387172418624,0.060806298237352355,0.04254070604069263
100,G_BW_PL_MA_EM,-6,Moving Average,-3.868678164985101,-1.428120271880213,2.440557893104888,0.060806298237352355,0.034665125429205704
100,G_BW_PL_MA_EM,0,Butterworth,2.1360651543303035,14.241414148340885,12.105348994010582,0.015257178713535574,0.0009395920509176057
100,G_BW_PL_MA_EM,0,Savitzky-Golay,2.1360651543303035,4.449507248157457,2.3134420938271534,0.015257178713535574,0.008956328700138455
100,G_BW_PL_MA_EM,0,Wavelet,2.1360651543303035,3.582922097473233,1.4468569431429295,0.015257178713535574,0.010934238410112542
100,G_BW_PL_MA_EM,0,Moving Average,2.1360651543303035,4.467361838126269,2.3312966837959657,0.015257178713535574,0.008919583284002941
100,G_BW_PL_MA_EM,6,Butterworth,8.143208603905997,19.38640152162193,11.243192917715934,0.0038261314664538026,0.00028736944988224733
100,G_BW_PL_MA_EM,6,Savitzky-Golay,8.143208603905997,9.346822085584835,1.203613481678838,0.0038261314664538026,0.0029000036212399917
100,G_BW_PL_MA_EM,6,Wavelet,8.143208603905997,9.029375116550593,0.8861665126445963,0.0038261314664538026,0.003119918412271641
100,G_BW_PL_MA_EM,6,Moving Average,8.143208603905997,10.05090319799346,1.907694594087463,0.0038261314664538026,0.0024659849909434753
100,G_BW_PL_MA_EM,12,Butterworth,14.122010245025507,23.209717993786043,9.087707748760536,0.0009657833729504409,0.00011915408867109489
100,G_BW_PL_MA_EM,12,Savitzky-Golay,14.122010245025507,12.558854872096838,-1.5631553729286694,0.0009657833729504409,0.001384188579049493
100,G_BW_PL_MA_EM,12,Wavelet,14.122010245025507,13.1755924156959,-0.9464178293296062,0.0009657833729504409,0.0012009405446889885
100,G_BW_PL_MA_EM,12,Moving Average,14.122010245025507,14.692800558590394,0.5707903135648866,0.0009657833729504409,0.0008468386924254381
100,G_BW_PL_MA_EM,18,Butterworth,20.11819930110579,25.076775510017733,4.958576208911943,0.00024280678507876635,7.75181139796185e-05
100,G_BW_PL_MA_EM,18,Savitzky-Golay,20.11819930110579,13.967386260430656,-6.150813040675134,0.00024280678507876635,0.0010007880770425415
100,G_BW_PL_MA_EM,18,Wavelet,20.11819930110579,15.320969190142147,-4.797230110963643,0.00024280678507876635,0.0007327972481115112
100,G_BW_PL_MA_EM,18,Moving Average,20.11819930110579,17.554686795646713,-2.5635125054590766,0.00024280678507876635,0.00043813915789566674
100,G_BW_PL_MA_EM,24,Butterworth,26.12379643132764,25.712556571605873,-0.4112398597217677,6.0911754015426865e-05,6.696148734241345e-05
100,G_BW_PL_MA_EM,24,Savitzky-Golay,26.12379643132764,14.410969855887547,-11.712826575440094,6.0911754015426865e-05,0.0009036156899046934
100,G_BW_PL_MA_EM,24,Wavelet,26.12379643132764,16.038970149957773,-10.084826281369867,6.0911754015426865e-05,0.0006211317562875263
